1344011706725519361 2020-12-30 04:05:36 +0800 <wMNhyaRVsIOCywu> @GKesarios τα συλλυπητηρια μου να ζησετε για να την θυμαστε.
1343787495318700033 2020-12-29 13:14:39 +0800 <wMNhyaRVsIOCywu> ΠΕΡΙ ΕΝΩΣΕΩΣ ΤΟΥ "ΧΩΡΟΥ"  https://t.co/a6Eu1pWYp6 μέσω @korina13
1342680544727986176 2020-12-26 11:56:02 +0800 <wMNhyaRVsIOCywu> Η ΝΥΧΤΑ ΤΩΝ ΧΡΙΣΤΟΥΓΕΝΝΩΝ (ΚΩΣΤΗ ΠΑΛΑΜΑ)  https://t.co/c1M8nm7J1F
1342679948641906691 2020-12-26 11:53:40 +0800 <wMNhyaRVsIOCywu> ΣΑΝ ΣΗΜΕΡΑ: ΤΟ ΤΕΛΟΣ ΤΩΝ ΤΣΑΟΥΣΕΣΚΟΥ… ΜΙΑ ΔΙΔΑΚΤΙΚΗ ΙΣΤΟΡΙΑ ΓΙΑ ΤΑ ΕΝ ΕΛΛΑΔΙ ΟΡΦΑΝΑ ΤΟΥ!  https://t.co/pOtQtULFxl
1342679311975927808 2020-12-26 11:51:08 +0800 <wMNhyaRVsIOCywu> Χριστούγεννα 1822 στο Μεσολόγγι  https://t.co/bU0tZ3lxaI
1342588258686005252 2020-12-26 05:49:19 +0800 <wMNhyaRVsIOCywu> Έπεσαν οι μάσκες: Ο Οργανισμός Δημόσιας Υγείας του Καναδά παραδέχεται πως ο «κορωνοϊός»…ΔΕΝ ΥΠΑΡΧΕΙ…!!!  https://t.co/vnPAKaodwf
1342347269962653697 2020-12-25 13:51:43 +0800 <wMNhyaRVsIOCywu> ΜΗΝΥΜΑ ΤΟΥ Γ.Γ. ΤΗΣ ΧΡΥΣΗΣ ΑΥΓΗΣ Ν.Γ. ΜΙΧΑΛΟΛΙΑΚΟΥ ΓΙΑ ΤΑ ΧΡΙΣΤΟΥΓΕΝΝΑ  https://t.co/1N1TBHI9Oa μέσω @korina13
1342346278471168005 2020-12-25 13:47:47 +0800 <wMNhyaRVsIOCywu> Η ΠΑΓΚΟΣΜΙΑ ΤΥΡΑΝΝΙΑ ΕΙΝΑΙ ΕΔΩ!  https://t.co/cZ53836N3q μέσω @korina13
1342344646777831426 2020-12-25 13:41:18 +0800 <wMNhyaRVsIOCywu> @SpartiTeodor Επισης τεο υγεια να εχουμε και καλη λευτερια στην πατριδα μας.
1342332424877989889 2020-12-25 12:52:44 +0800 <wMNhyaRVsIOCywu> Η ΠΑΓΚΟΣΜΙΑ ΤΥΡΑΝΝΙΑ ΕΙΝΑΙ ΕΔΩ! Του Ν.Γ. Μιχαλολιάκου από τις φυλακές Δομοκού  https://t.co/bfFF6cYdyR
1342331060152115200 2020-12-25 12:47:18 +0800 <wMNhyaRVsIOCywu> ΟΤΑΝ ΟΙ ΡΟΠΑΛΟΦΟΡΟΙ ΤΟΥ ΚΚΕ ΕΣΩΖΑΝ ΤΟ ΑΣΤΙΚΟ ΚΟΙΝΟΒΟΥΛΙΟ ΚΑΙ ΤΟ ΣΥΣΤΗΜΑ ΑΠΟ ΤΗΝ ΟΡΓΗ ΤΟΥ «ΕΧΘΡΟΥ-ΛΑΟΥ»! (ΒΙΝΤΕΟ)  https://t.co/W2JKcjWANu
1342330475965276161 2020-12-25 12:44:59 +0800 <wMNhyaRVsIOCywu> Άγνωστες μορφές του Ελληνισμού: Παναγιώτης Ποταγός  https://t.co/Dn4CNEyyAt
1342328863033061379 2020-12-25 12:38:34 +0800 <wMNhyaRVsIOCywu> ΕΟΡΤΑΣΤΙΚΟ ΜΗΝΥΜΑ ΤΟΥ ΑΡΤΕΜΗ ΜΑΤΘΑΙΟΠΟΥΛΟΥ  https://t.co/f8gV1oG7B6
1342328318461411330 2020-12-25 12:36:25 +0800 <wMNhyaRVsIOCywu> Υποβρύχιο Παπανικολής: Στις 24 Δεκεμβρίου 1940 βύθισε το ιταλικό εμπορικό πλοίο ‘Firenze  https://t.co/kpS3yJ7eDW
1341965156230844416 2020-12-24 12:33:20 +0800 <wMNhyaRVsIOCywu> Στον καιρό της εσχάτης παρακμής - Γράφει ο Ν.Γ. Μιχαλολιάκος από τις φυλακές Δομοκού  https://t.co/60oZVjMYOQ
1341964466011955202 2020-12-24 12:30:35 +0800 <wMNhyaRVsIOCywu> Αναδημοσίευση: Καλύτερα δραχμή παρά υποταγή! Άρθρο του Ν. Γ. Μιχαλολιάκου  https://t.co/dxsHcPIOsI
1341963211206254598 2020-12-24 12:25:36 +0800 <wMNhyaRVsIOCywu> Σαν σήμερα το 1975 αρχίζει τη δράση της η τρομοκρατική οργάνωση «17 Νοέμβρη» με την εν ψυχρώ δολοφονία του σταθμάρχη της CIA στην Αθήνα Ρίτσαρντ Γουέλς  https://t.co/PtbIv3m9Cd
1341962610040778752 2020-12-24 12:23:13 +0800 <wMNhyaRVsIOCywu> Θερμό αγωνιστικό χαιρετισμό και ευχές για τις Άγιες Ημέρες των Χριστουγέννων από τον Αρχηγό μας  https://t.co/mZPat2gpd1
1341670882473865216 2020-12-23 17:04:00 +0800 <wMNhyaRVsIOCywu> Αναδημοσίευση: Ν. Γ. Μιχαλολιάκος: Μοναδική απειλή για το διεφθαρμένο πολιτικό σύστημα είναι η Χρυσή Αυγή! 2 ΒΙΝΤΕΟ  https://t.co/KXV3ezHsWN
1341670196122161153 2020-12-23 17:01:16 +0800 <wMNhyaRVsIOCywu> Σαν σήμερα 22 Δεκεμβρίου 1940 – Ο Ελληνικός Στρατός απελευθερώνει τη Χειμάρρα  https://t.co/OxrCSdPzZx
1341669237610475520 2020-12-23 16:57:27 +0800 <wMNhyaRVsIOCywu> 22 ΔΕΚΕΜΒΡΙΟΥ 1940: Η ΑΠΕΛΕΥΘΕΡΩΣΗ ΤΗΣ ΧΕΙΜΑΡΑΣ  https://t.co/V3c1PJdpME
1341667342405816320 2020-12-23 16:49:56 +0800 <wMNhyaRVsIOCywu> Κομμουνιστικό έγκλημα: Η δολοφονία με τσεκούρι της ηθοποιού Ελένης Παπαδάκη  https://t.co/HDkRfTEhRO
1341666833393479682 2020-12-23 16:47:54 +0800 <wMNhyaRVsIOCywu> ΕΛΛΗΝΩΝ ΠΙΣΤΗ ΚΑΙ ΠΑΤΡΙΣ ΚΑΤΑ ΠΑΓΚΟΣΜΙΟΥ ΟΛΕΘΡΟΥ  https://t.co/ghGPK3YSqb
1341248272317493251 2020-12-22 13:04:41 +0800 <wMNhyaRVsIOCywu> ΘΑ ΚΡΑΤΗΣΕΙ ΧΡΟΝΙΑ ΑΥΤΗ Η «ΚΟΛΩΝΙΑ»! Ο ΚΟΡΟΪΔΟΪΟΣ… ΜΕΤΑΛΛΑΧΘΗΚΕ ΚΙ ΕΓΙΝΕ… COVID 20!  https://t.co/orzArDPrLh μέσω @korina13
1341236591147282432 2020-12-22 12:18:16 +0800 <wMNhyaRVsIOCywu> Η “απαγορευμένη” ομιλία του Ν. Γ. Μιχαλολιάκου που έκοψε η ΕΡΤ του Τσίπρα – ΒΙΝΤΕΟ  https://t.co/eVYiRQ1t9B
1341236087495208965 2020-12-22 12:16:16 +0800 <wMNhyaRVsIOCywu> Σαν σήμερα τον Δεκ. του 2017:Ν. Γ. Μιχαλολιάκος: Ντροπή σας! Επιτρέψατε στον Ερντογάν να καταθέσει την ημισέληνο στο Μνημείο του Αγνώστου Στρατιώτη – ΒΙΝΤΕΟ  https://t.co/CtTyjL7xT1
1341235586431135745 2020-12-22 12:14:17 +0800 <wMNhyaRVsIOCywu> Κομμουνιστικό έγκλημα: Η δολοφονία με τσεκούρι της ηθοποιού Ελένης Παπαδάκη  https://t.co/EIuGnpJ5ja
1341234488035201029 2020-12-22 12:09:55 +0800 <wMNhyaRVsIOCywu> Η διαχρονία της Ελληνικής Πίστεως αντικατοπτριζόμενη διαμέσου των Αιώνων  https://t.co/Lo8kn1X0AX
1341233988791365633 2020-12-22 12:07:56 +0800 <wMNhyaRVsIOCywu> Γιατρός αυτοκτόνησε πέφτοντας απ΄τον 5ο όροφο του Νοσοκομείου Βόλου   https://t.co/yY9UUl86yX
1341233322995937285 2020-12-22 12:05:17 +0800 <wMNhyaRVsIOCywu> Νέα αυτοκτονία στο Ηράκλειο: Ξενοδόχος κρεμάστηκε λόγω lockdown!  https://t.co/qyZ8FUiUFy
1341232815854202882 2020-12-22 12:03:16 +0800 <wMNhyaRVsIOCywu> Φυλακισμένοι Εθνικιστές (Το άδικο ουκ ευλογείται)!  https://t.co/uu0vyQ7pvA
1341231577238532097 2020-12-22 11:58:21 +0800 <wMNhyaRVsIOCywu> Ο αντιμπολσεβικισμός του Κωστή Παλαμά  https://t.co/J38vAWz5Zu
1341229637331001344 2020-12-22 11:50:39 +0800 <wMNhyaRVsIOCywu> Το μήνυμα πολιτικού κρατουμένου Ηλία Παναγιώταρου για τα Χριστούγεννα!  https://t.co/TCXjM244Mg
1341114756271398912 2020-12-22 04:14:09 +0800 <wMNhyaRVsIOCywu> Η. Παναγιώταρος μέσα από τις φυλακές: Αυτά τα Χριστούγεννα μου στερήσατε...  https://t.co/DPAOH5c9hN μέσω @YouTube
1340883440779091968 2020-12-21 12:54:59 +0800 <wMNhyaRVsIOCywu> ΙΔΟΥ ΕΝΑΣ ΑΚΟΜΑ ΛΟΓΟΣ ΓΙΑ ΤΟΝ ΟΠΟΙΟ ΕΠΡΕΠΕ ΝΑ ΜΑΣ ΒΑΛΟΥΝ ΣΤΗ ΦΥΛΑΚΗ!  https://t.co/ceWUbpAYC0 μέσω @korina13
1340873611352154112 2020-12-21 12:15:55 +0800 <wMNhyaRVsIOCywu> Σαν σήμερα: Η αριστερή τρομοκρατία βάζει την ταφόπλακα στο Ελληνικό εμπόριο και ανοίγει τις πύλες στις πολυεθνικές  https://t.co/bGBOPshWAy
1340872116808331268 2020-12-21 12:09:59 +0800 <wMNhyaRVsIOCywu> Γράφει ο Ν.Γ. Μιχαλολιάκος - “…Είπες ας φράξουν την φωτιά άλλα στήθη”  https://t.co/HXcltymTci
1340871358243364865 2020-12-21 12:06:58 +0800 <wMNhyaRVsIOCywu> ΒΑΡΝΑΛΗΣ: Ο ΠΟΙΗΤΗΣ ΤΗΣ… ΒΟΥΛΓΑΡΟΦΡΟΣΥΝΗΣ;  https://t.co/JhJt90bAjU
1340870616874889217 2020-12-21 12:04:01 +0800 <wMNhyaRVsIOCywu> Στήριξη στους Έλληνες εμπόρους για τις αγορές των Χριστουγέννων  https://t.co/43Pt8qjarF
1340869910281515008 2020-12-21 12:01:13 +0800 <wMNhyaRVsIOCywu> ΟΙ ΒΑΡΒΑΡΟΙ ΕΙΝΑΙ ΠΛΕΟΝ ΜΕΣΑ ΣΤΗΝ ΣΑΤΡΑΠΕΙΑ ΚΑΙ ΑΥΤΟΙ ΝΟΜΟΘΕΤΟΥΝ!  https://t.co/DgMrcOxzNj
1340868127777812480 2020-12-21 11:54:08 +0800 <wMNhyaRVsIOCywu> ΧΕΙΜΕΡΙΝΟ ΗΛΙΟΣΤΑΣΙΟ 2020  https://t.co/CKwhIewVl2
1340743053343154178 2020-12-21 03:37:08 +0800 <wMNhyaRVsIOCywu> Νοσοκόμα που μόλις είχε εμβολιστεί...Τα σχόλια δικά σας!!!  https://t.co/9SBowd7wOM μέσω @YouTube
1340518893954211845 2020-12-20 12:46:24 +0800 <wMNhyaRVsIOCywu> “… ΕΙΠΕΣ, ΑΣ ΦΡΑΞΟΥΝ ΤΗΝ ΦΩΤΙΑ ΑΛΛΑ ΣΤΗΘΗ“ - ΑΡΘΡΟ ΤΟΥ Ν.Γ. ΜΙΧΑΛΟΛΙΑΚΟΥ  https://t.co/zhs1Vau5V5 μέσω @korina13
1340517564078845953 2020-12-20 12:41:07 +0800 <wMNhyaRVsIOCywu> ΕΛΛΗΝΩΝ ΠΙΣΤΗ ΚΑΙ ΠΑΤΡΙΣ ΚΑΤΑ ΠΑΓΚΟΣΜΙΟΥ ΟΛΕΘΡΟΥ  https://t.co/diUEXs5QXn μέσω @korina13
1340504073917837313 2020-12-20 11:47:31 +0800 <wMNhyaRVsIOCywu> Ίων Δραγούμης: Από το “Όσοι Ζωντανοί”  https://t.co/CSUn5FqDu3
1340503722556858368 2020-12-20 11:46:07 +0800 <wMNhyaRVsIOCywu> Julius Evola: «…Μία οικονομική εποχή είναι ήδη εξ ορισμού μία ανατροπή της φυσικής τάξης»  https://t.co/g1DpCCvNCa
1340502918869491714 2020-12-20 11:42:55 +0800 <wMNhyaRVsIOCywu> Του Ν.Γ. Μιχαλολιάκου - ΚΥΡΩΣΕΙΣ ΓΙΟΚ!  https://t.co/DTR6SdbdAB
1340146653752406016 2020-12-19 12:07:15 +0800 <wMNhyaRVsIOCywu> Του Ν.Γ. Μιχαλολιάκου - ΡΟΒΕΣΠΙΕΡΟΣ ΚΑΙ…1821!  https://t.co/PieaK6tvcc
1340145801465655296 2020-12-19 12:03:52 +0800 <wMNhyaRVsIOCywu> Απόσπασμα από την εφημερίδα “Χρυσή Αυγή” εν έτει …2005  https://t.co/AxtsJHad94
1340145543142629377 2020-12-19 12:02:50 +0800 <wMNhyaRVsIOCywu> Αποκαλύπτουμε τους πραγματικούς εγκληματίες αυτού του τόπου: Η κόκκινη τρομοκρατία μέρος Β’  https://t.co/s4jAzRTcxr
1340020865103179780 2020-12-19 03:47:25 +0800 <wMNhyaRVsIOCywu> Βίντεο-ντοκουμέντα: Κατά εκατοντάδες περνούν οι παράνομοι μετανάστες από τον «θωρακισμένο» Έβρο  https://t.co/3USddSXUPT
1339804526468067328 2020-12-18 13:27:46 +0800 <wMNhyaRVsIOCywu> ΧΕΙΜΕΡΙΝΟ ΗΛΙΟΣΤΑΣΙΟ 2020  https://t.co/ChdhPn1wZf μέσω @korina13
1339789404823498752 2020-12-18 12:27:40 +0800 <wMNhyaRVsIOCywu> ΧΡΥΣΗ ΑΥΓΗ: ΕΝΑ ΚΙΝΗΜΑ ΙΔΕΟΛΟΓΙΚΟ  https://t.co/ANNYWGLtcN
1339783614226190337 2020-12-18 12:04:40 +0800 <wMNhyaRVsIOCywu> Γράφει ο Ν.Γ. Μιχαλολιάκος: "Αιχμάλωτος πολέμου"  https://t.co/4lQK9mm6tm
1339782290038255617 2020-12-18 11:59:24 +0800 <wMNhyaRVsIOCywu> Αποκαλύπτουμε τους πραγματικούς εγκληματίες αυτού του τόπου: Η κόκκινη τρομοκρατία μέρος Α’  https://t.co/Sjx0PcuF85
1339780907922763776 2020-12-18 11:53:55 +0800 <wMNhyaRVsIOCywu> ΣΑΝ ΣΗΜΕΡΑ ΤΟ 2012 ΟΙ ΧΕΙΡΟΚΡΟΤΗΤΕΣ ΤΗΣ ΕΠΙΟΡΚΗΣ ΛΕΠΕΝΙΩΤΗ ΤΡΑΥΜΑΤΙΖΑΝ ΘΑΝΑΣΙΜΑ (27 ΡΑΜΜΑΤΑ ΣΤΟ ΚΕΦΑΛΙ!) ΕΝΑΝ ΥΠΟΣΤΗΡΙΚΤΗ ΤΟΥ ΚΙΝΗΜΑΤΟΣ ΜΑΣ ΣΤΗΝ ΚΟΖΑΝΗ  https://t.co/0dtRp17vFK
1339780482842714116 2020-12-18 11:52:13 +0800 <wMNhyaRVsIOCywu> Άγνωστες μορφές του Ελληνισμού: Ανδρέας ο πολεμιστής  https://t.co/zAA7njc1fy
1339778973182685184 2020-12-18 11:46:13 +0800 <wMNhyaRVsIOCywu> Ο Λαϊκός Εθνικισμός ως Βιοθεωρία  https://t.co/xKTbelBJK9
1339776173379862528 2020-12-18 11:35:06 +0800 <wMNhyaRVsIOCywu> Άγνωστες μορφές του Ελληνισμού: Γεώργιος Ζαλοκώστας  https://t.co/IIV6TvEmPS
1339430201932046337 2020-12-17 12:40:20 +0800 <wMNhyaRVsIOCywu> ΒΑΡΝΑΛΗΣ: Ο ΠΟΙΗΤΗΣ ΤΗΣ… ΒΟΥΛΓΑΡΟΦΡΟΣΥΝΗΣ  https://t.co/Xg72NO6RqC
1339414182089863169 2020-12-17 11:36:40 +0800 <wMNhyaRVsIOCywu> Το τεκμήριο της προδοσίας του ΚΚΕ από το 1922 έως το 1941  https://t.co/i6VOL0O5ok
1339413041935511554 2020-12-17 11:32:08 +0800 <wMNhyaRVsIOCywu> 16 Δεκεμβρίου 1803: 60 Σουλιώτισσες χόρεψαν το χορό του Ζαλόγγου… Τιμή και δόξα!  https://t.co/R8RQU5Gr5q
1339411653612462080 2020-12-17 11:26:37 +0800 <wMNhyaRVsIOCywu> Τον "έφαγε" το παρατεταμένο lockdown της κυβερνήσεως Μητσοτάκη  https://t.co/eJv5uzyeRj
1339277923208093697 2020-12-17 02:35:14 +0800 <wMNhyaRVsIOCywu> Η χρήση μάσκας προκαλεί βακτηριακή πνευμονία !  https://t.co/HiN1Gtm1h2 μέσω @Σφαγή GR, Ειδήσεις, Ενημέρωση
1339053209738948608 2020-12-16 11:42:18 +0800 <wMNhyaRVsIOCywu> Μανώλης Μπικάκης: Ο Κρητικός που κατατρόπωσε τους εισβολείς του Αττίλα  https://t.co/EFWmMsgwus
1339052046855655424 2020-12-16 11:37:41 +0800 <wMNhyaRVsIOCywu> Βασίλειος ο Β’ ο Βουλγαροκτόνος: Ο Μακεδόνας Αυτοκράτορας του Βυζαντίου  https://t.co/V130xt2RkG
1339050027558330368 2020-12-16 11:29:39 +0800 <wMNhyaRVsIOCywu> Σαν σήμερα το 1961: Η Γιουγκοσλαβία του Τίτο ανακινεί «μακεδονικό ζήτημα» και η κυβέρνηση Καραμανλή υποχωρεί για τα συμφέροντα των «δυτικών συμμάχων"  https://t.co/KYC6SkNrlc
1339049671759687692 2020-12-16 11:28:14 +0800 <wMNhyaRVsIOCywu> Η “Ελληνική Επιχείρηση” του Στάλιν εναντίον του Ποντιακού Ελληνισμού  https://t.co/zimugSHeh4
1338674295015415819 2020-12-15 10:36:37 +0800 <wMNhyaRVsIOCywu> Κράνος αρχαίου Έλληνα πολεμιστή ανακαλύφθηκε στην Κροατία  https://t.co/FtoD6ydyRt
1338673746698268674 2020-12-15 10:34:27 +0800 <wMNhyaRVsIOCywu> ΚΑΤΑΣΚΟΠΕΙΑ ΚΑΙ ΤΟΥΡΚΙΚΟ ΠΡΟΞΕΝΕΙΟ  https://t.co/5Lk8YXQ55a
1338673269482921986 2020-12-15 10:32:33 +0800 <wMNhyaRVsIOCywu> Ο Λαϊκός Εθνικισμός ως Βιοθεωρία  https://t.co/xd4AK93SMV
1338670405209501696 2020-12-15 10:21:10 +0800 <wMNhyaRVsIOCywu> Με θέληση καί Πίστη στις Ιδέες  https://t.co/HxLT4bGIfM
1338568258329464833 2020-12-15 03:35:16 +0800 <wMNhyaRVsIOCywu> ΟΛΑ για τον βουλευτή με το τεστ στην κοκ@ κόλα και την Γιουχάν που ετοιμ...  https://t.co/2xEg6Qd5KL μέσω @YouTube
1338341628088619008 2020-12-14 12:34:43 +0800 <wMNhyaRVsIOCywu> ΕΙΜΑΣΤΕ ΠΑΡΟΝΤΕΣ!  https://t.co/i8j6Ea9yOD μέσω @korina13
1338341132376432642 2020-12-14 12:32:45 +0800 <wMNhyaRVsIOCywu> ΚΑΤΑΣΚΟΠΕΙΑ ΚΑΙ ΤΟΥΡΚΙΚΟ ΠΡΟΞΕΝΕΙΟ  https://t.co/Mxngv7jBvi μέσω @korina13
1338327773161680897 2020-12-14 11:39:40 +0800 <wMNhyaRVsIOCywu> “Μάθετε τα παιδιά ιστορία. Οπλίστε τα!”  https://t.co/7GXhZ37rcf
1338327109996044290 2020-12-14 11:37:02 +0800 <wMNhyaRVsIOCywu> Αδαμάντιος Κοραής: Άσμα Πολεμιστήριον  https://t.co/wdNWm6JXIi
1338325515728465926 2020-12-14 11:30:42 +0800 <wMNhyaRVsIOCywu> Άγνωστες μορφές του Ελληνισμού: Γεώργιος Ζαλοκώστας  https://t.co/wyj8tYryy8
1338323737943416832 2020-12-14 11:23:38 +0800 <wMNhyaRVsIOCywu> 13 Δεκεμβριου 1803: Η ΘΥΣΙΑ ΣΤΟ ΚΟΥΓΚΙ  https://t.co/9f66C4w4jt
1338316337949646849 2020-12-14 10:54:14 +0800 <wMNhyaRVsIOCywu> Narodowe Odrodzenie Polski i Złoty Świt - nacjonalistyczne braterstwo  https://t.co/3lUJ5fcI6o
