1344032819283075072 2020-12-30 05:29:29 +0800 <albertan48> Kelly Loeffler's conflict of interest is even worse than reported.  https://t.co/m5ULCoy1rY via @MotherJones
1343294812267532288 2020-12-28 04:36:55 +0800 <albertan48> Presidential Emergency Action Documents | Brennan Center for Justice  https://t.co/TQHwGOyZ3o
1343255142108282880 2020-12-28 01:59:17 +0800 <albertan48> Comparing the Biggest Tech Mergers and Acquisitions of 2020  https://t.co/2og8NHTa3e
1343191693462401024 2020-12-27 21:47:09 +0800 <albertan48> Donald Trump just blew it again - Palmer Report  https://t.co/j9GqFmgMml
1343006180495376385 2020-12-27 09:29:59 +0800 <albertan48> (12) Maddow Blog on Twitter: "Why did a Trump appointee at an agency full of scientists need to bring on a separate science adviser? And why pick one who advocates for more people to be infected with coronavirus?  https://t.co/H5ANLQinu5" / Twitter  https://t.co/HlHvhZz3rf
1342939736445386753 2020-12-27 05:05:58 +0800 <albertan48> Dear Trump Supporter…  https://t.co/6985emIQH4 via @PalmerReport
1342938350903123968 2020-12-27 05:00:28 +0800 <albertan48> Dear Trump Supporter... - Palmer Report  https://t.co/FKlWGRa9Xd
1342909005392269313 2020-12-27 03:03:51 +0800 <albertan48> David Perdue goes off the rails in Georgia Senate runoff race  https://t.co/vu9QcSOKsN via @PalmerReport
1342869350508679168 2020-12-27 00:26:17 +0800 <albertan48> Fact check: Georgia Republicans run more misleading attack ads against Warnock and Ossoff - CNNPolitics  https://t.co/DZ5Mr1qRXL
1342634022149636096 2020-12-26 08:51:10 +0800 <albertan48> Donald Trump plays Grinch on Christmas  https://t.co/JHbvidUJxo via @PalmerReport
1342630270252457984 2020-12-26 08:36:15 +0800 <albertan48> Why the Russian hack is so significant, and why it's close to a worst-case scenario  https://t.co/w6Bk5VpvVU
1342569052145733633 2020-12-26 04:33:00 +0800 <albertan48> Good news for Raphael Warnock and Jon Ossoff in the Georgia Senate runoffs  https://t.co/kn8nvSGJWw via @PalmerReport
1342560861253079040 2020-12-26 04:00:27 +0800 <albertan48> Trump campaign suffers yet another humiliating legal defeat — this time, on Christmas Eve - Raw Story - Celebrating 16 Years of Independent Journalism  https://t.co/8vZTyvqq8B
1342522302458523648 2020-12-26 01:27:14 +0800 <albertan48> Senate GOP blocks three election security bills | TheHill  https://t.co/nZsAdQb2gK
1342498450563166209 2020-12-25 23:52:27 +0800 <albertan48> From @HuffPost: It’s the 14th state to impose such measures.  https://t.co/KfmymvIpuL via @slate
1342496598861860865 2020-12-25 23:45:06 +0800 <albertan48> (12) Fox News Claims It Never Called COVID-19 a Hoax | NowThis - YouTube  https://t.co/JAaeNqyK3c
1342495591394242561 2020-12-25 23:41:06 +0800 <albertan48> The data is in: Fox News may have kept millions from taking the coronavirus threat seriously - The Washington Post  https://t.co/MWA95PlLb1
1342494784477249542 2020-12-25 23:37:53 +0800 <albertan48> Fox News’ COVID Denial Hasn’t Aged Well  https://t.co/NKxb13ueKb via @VanityFair
1342488132256628736 2020-12-25 23:11:27 +0800 <albertan48> Federal government launches searchable database of firms, groups that got wage subsidy | CBC News  https://t.co/DUa2FfjnEp
1342487512258813952 2020-12-25 23:08:59 +0800 <albertan48> Group Run By Canadian Neo-Nazi Received Federal COVID Relief Funds  https://t.co/gv3HecVPOR via @vice
1342486912364253184 2020-12-25 23:06:36 +0800 <albertan48> Anti-hate groups call for changes after 'white nationalist' receives federal COVID-19 funds | CBC News  https://t.co/A1p09EWIZP
1342301153334194176 2020-12-25 10:48:28 +0800 <albertan48> Everyone caught up in the Trump investigations  https://t.co/ld13rWCdqK
1342229662747873280 2020-12-25 06:04:23 +0800 <albertan48> Check out this cartoon  https://t.co/MnyUVfSyGN
1341983530847330304 2020-12-24 13:46:21 +0800 <albertan48> Video shows Pennsylvania firefighter rescue dog from burning barn  https://t.co/cLejdXP6pp
1341934870713442310 2020-12-24 10:32:59 +0800 <albertan48> All of Trump’s Ties to Russia, in 7 Charts  https://t.co/Hq6DNtjPam via @politicomag
1341933516003504128 2020-12-24 10:27:36 +0800 <albertan48> Donald Trump’s endgame pardons just got even more embarrassing tonight  https://t.co/IJhvbvxQCv via @PalmerReport
1341933144954425345 2020-12-24 10:26:08 +0800 <albertan48> Donald Trump’s 2020 campaign finance shell company scandal just got even uglier  https://t.co/zqHRVPFDhh via @PalmerReport
1341879364695203841 2020-12-24 06:52:26 +0800 <albertan48> The new UK coronavirus mutations, explained  https://t.co/euCQEg2Ao7 via @voxdotcom
1341878058240729088 2020-12-24 06:47:14 +0800 <albertan48> The Battle of Britain  https://t.co/8EiCHKMsr3 via @PalmerReport
1341877312581562368 2020-12-24 06:44:16 +0800 <albertan48> Joe Biden enters uncharted territory  https://t.co/yEycYzRD1J via @PalmerReport
1341767136444706817 2020-12-23 23:26:28 +0800 <albertan48> Why the Russian hack is so significant, and why it's close to a worst-case scenario  https://t.co/w6Bk5VpvVU
1341664780147253253 2020-12-23 16:39:45 +0800 <albertan48> TSA checkpoint travel numbers for 2020 and 2019 | Transportation Security Administration  https://t.co/UUp8C3HvC9
1341625373721694210 2020-12-23 14:03:09 +0800 <albertan48> House Republicans scramble after Trump blowback  https://t.co/9AjfKkLprn via @PalmerReport
1341577017691521024 2020-12-23 10:51:00 +0800 <albertan48> Check out this cartoon  https://t.co/qpbm2gvYPB
1341571798660304896 2020-12-23 10:30:16 +0800 <albertan48> Mapping the Trump-Russia network - Vox  https://t.co/oS4Zs3BDIF
1341558508311855104 2020-12-23 09:37:27 +0800 <albertan48> Donald Trump’s Deutsche Bank contact abruptly resigns after bank testifies to New York grand jury  https://t.co/UgoOzn8ozK via @PalmerReport
1341558210314956800 2020-12-23 09:36:16 +0800 <albertan48> Trump’s Longtime Banker at Deutsche Bank, Rosemary Vrablic, Resigns - The New York Times  https://t.co/TEAS1zTRZW
1341417855774990338 2020-12-23 00:18:33 +0800 <albertan48> The data is in: Fox News may have kept millions from taking the coronavirus threat seriously - The Washington Post  https://t.co/kn3aeOHHcU
1341417554506485760 2020-12-23 00:17:21 +0800 <albertan48> Fox News’ COVID Denial Hasn’t Aged Well | Vanity Fair  https://t.co/5sRgeSKvJG
1341260541751226368 2020-12-22 13:53:27 +0800 <albertan48> 'Get a rope!' Armed extremists clash with police while trying to overrun Oregon State Capitol  https://t.co/9Bza9oxaLr
1341259805319557125 2020-12-22 13:50:31 +0800 <albertan48> Check out this cartoon  https://t.co/XSjeGwc136
1341259530131234817 2020-12-22 13:49:26 +0800 <albertan48> Check out this cartoon  https://t.co/ms6Ht2J0ay
1341220210599084033 2020-12-22 11:13:11 +0800 <albertan48> Journalist Charts The 'Bizarre Twists And Turns' Of The Trump-Russia Dossier  https://t.co/oP2w40oX8V
1341219000794009602 2020-12-22 11:08:23 +0800 <albertan48> Trump Russia affair: Key questions answered - BBC News  https://t.co/kGNEuTOPi5
1341218759118266368 2020-12-22 11:07:25 +0800 <albertan48> Trump denies hiding detail of Putin summit talks from staff - BBC News  https://t.co/W5TF5b7obm
1341167103538163713 2020-12-22 07:42:09 +0800 <albertan48> Russia: Trump &amp; His Team’s Ties | Congressman Eric Swalwell  https://t.co/qtLkduuLQN
1341126253684740096 2020-12-22 04:59:50 +0800 <albertan48> Un-pardon me  https://t.co/UuClKFxUEA via @PalmerReport
1341122356224245760 2020-12-22 04:44:21 +0800 <albertan48> IDF submarine crosses Suez Canal as direct message to Iran - report - The Jerusalem Post  https://t.co/tNkdfJSwVE
1341121356801343489 2020-12-22 04:40:22 +0800 <albertan48> 5 Life Hacks You Need to Try  https://t.co/p8UfJ1wwxA via @flipboard
1341117947276771329 2020-12-22 04:26:50 +0800 <albertan48> The real truth about Raphael Warnock - Palmer Report  https://t.co/oh0a5eQLoZ
1341070101638868993 2020-12-22 01:16:42 +0800 <albertan48> The U.K. has identified a new Covid-19 strain that spreads more quickly. Here's what they know  https://t.co/e70J0BnUpv
1341069007651176449 2020-12-22 01:12:21 +0800 <albertan48> Coronavirus Pandemic Data Explorer - Our World in Data  https://t.co/ktwEBpEA0m
1341068659515555841 2020-12-22 01:10:58 +0800 <albertan48> Trump knew coronavirus was 'deadly', downplayed it: Woodward book - YouTube  https://t.co/jWFjLNdDQX
1341068262621102080 2020-12-22 01:09:24 +0800 <albertan48> (10) Maddow Blog on Twitter: "Why did a Trump appointee at an agency full of scientists need to bring on a separate science adviser? And why pick one who advocates for more people to be infected with coronavirus?  https://t.co/H5ANLQinu5" / Twitter  https://t.co/HlHvhZz3rf
1341060210006245376 2020-12-22 00:37:24 +0800 <albertan48> All of Donald Trump’s Ties to Russia and Putin, in 7 Charts - POLITICO Magazine  https://t.co/Hq6DNtjPam
1340924473378160640 2020-12-21 15:38:02 +0800 <albertan48> Donald Trump's stimulus grift - Palmer Report  https://t.co/bv5nB5uS99
1340909731515256832 2020-12-21 14:39:27 +0800 <albertan48> Trump Proposes Overruling Supreme Court by Creating Supremer Court  https://t.co/aTvIHHWXvI via @NewYorker
1340814963380637696 2020-12-21 08:22:53 +0800 <albertan48> 'Covid, covid covid' - Trump says opponents are using the pandemic to ma...  https://t.co/4nbH4EKcxU via @YouTube
1340814360801734656 2020-12-21 08:20:29 +0800 <albertan48> “Who Cares”: A Trump Administration Official Wanted to Purposely Infect “Infants, Kids,” and the “Middle Aged” With COVID-19 | Vanity Fair  https://t.co/u7HCi6Yt44
1340766033003438082 2020-12-21 05:08:27 +0800 <albertan48> Donald Trump, stochastic terrorist  https://t.co/4s8n2Y83Ks via @PalmerReport
1340741377747865600 2020-12-21 03:30:28 +0800 <albertan48> Donald Trump just got shut out by the Supreme Court again  https://t.co/RW7lRsQEtK via @PalmerReport
1340739360912592896 2020-12-21 03:22:28 +0800 <albertan48> Heated Oval Office meeting included talk of special counsel, martial law as Trump advisers clash - CNNPolitics  https://t.co/0vnOuZuX6d
1340697864888979463 2020-12-21 00:37:34 +0800 <albertan48> What is Donald Trump so afraid of?  https://t.co/qQpvVZqG6D via @PalmerReport
1340657069335035904 2020-12-20 21:55:28 +0800 <albertan48> Martial law? Not even close, as Donald Trump’s late night meltdown reveals how hobbled he is  https://t.co/LpT6LENWDS via @PalmerReport
1340655870326185985 2020-12-20 21:50:42 +0800 <albertan48> Good news for Jon Ossoff and Raphael Warnock in the Georgia runoffs - Palmer Report  https://t.co/Q6AMdbsmJx
1340655243638448129 2020-12-20 21:48:12 +0800 <albertan48> Twitter finds new way to crack down on Donald Trump’s false tweets  https://t.co/0x8IYhquu3 via @PalmerReport
1340523297440612353 2020-12-20 13:03:54 +0800 <albertan48> Mark Meadows Threatened to Fire White House Doctors if They Revealed Details About COVID Cases: WaPo  https://t.co/PI1DaJ1iB4
1340468200077606915 2020-12-20 09:24:58 +0800 <albertan48> Trump is asleep at the wheel while the world is burning -- and it's a 'dereliction of duty': columnist  https://t.co/KM5tpmeYCj
1340467601672048640 2020-12-20 09:22:35 +0800 <albertan48> Check out this cartoon  https://t.co/0LiOyueNEY
1340466599283683330 2020-12-20 09:18:36 +0800 <albertan48> Chart: Tracking COVID-19 Vaccines Around the World  https://t.co/L8mWJI5kyK
1340466055181791232 2020-12-20 09:16:26 +0800 <albertan48> The Race to Save Lives: Comparing Vaccine Development Timelines  https://t.co/dAY6InEo3n
1340458341936418817 2020-12-20 08:45:47 +0800 <albertan48> Now is not the time to cower to Donald Trump  https://t.co/jlv0SKYU89 via @PalmerReport
1340457909755342848 2020-12-20 08:44:04 +0800 <albertan48> Donald Trump just gave away that he’s more of a Russian puppet than ever  https://t.co/ZauO89BVzl via @PalmerReport
1340457701445275649 2020-12-20 08:43:15 +0800 <albertan48> Here’s how we make the 25th Amendment happen against Donald Trump  https://t.co/QCqjQOCgng via @PalmerReport
1340455340786155521 2020-12-20 08:33:52 +0800 <albertan48> Musician Serenades His Dog With a Kalimba Cover of 'Here Comes the Sun' on a Beautiful Autumn Day  https://t.co/Avk9bZJxYv via @LaughingSquid
1340454409252171776 2020-12-20 08:30:10 +0800 <albertan48> Republican defends Trump's talk of a military coup: 'It was a conversation -- not a revolution'  https://t.co/lHTxaiy2GK
1340385017621487616 2020-12-20 03:54:26 +0800 <albertan48> The real reason Donald Trump may be trying to make sure the Republicans lose the Georgia runoffs  https://t.co/9HTv28Yv8o via @PalmerReport
1340384577269874689 2020-12-20 03:52:41 +0800 <albertan48> Ron Johnson's war on America - Palmer Report  https://t.co/srKO5XVJoH
1340333205002412032 2020-12-20 00:28:32 +0800 <albertan48> Donald Trump was right for once - Palmer Report  https://t.co/b0qXXAXpDM
1340328891559243778 2020-12-20 00:11:24 +0800 <albertan48> Lou Dobbs Airs Stunning Fact-Check of His Own Election Claims  https://t.co/SltQoa1N8P
1340174561178841088 2020-12-19 13:58:09 +0800 <albertan48> Former Trump appointee encouraged herd immunity strategy for COVID-19, internal emails reveal | CTV News  https://t.co/smW3NuYdbq
1340174211336192002 2020-12-19 13:56:45 +0800 <albertan48> Trump Predicted ‘Covid, Covid, Covid’ Would End After The Election. It's Worse Than Ever  https://t.co/XohlauOJhs
1340169115911110656 2020-12-19 13:36:31 +0800 <albertan48> Trump’s Pentagon loyalists, the Russian hack, and the Pentagon’s sudden transition stall-out  https://t.co/OSvFi4ms4Z via @PalmerReport
1340132824939069440 2020-12-19 11:12:18 +0800 <albertan48> Everything is falling apart in real time  https://t.co/2tDg2luGZS via @PalmerReport
1339959855575011330 2020-12-18 23:44:59 +0800 <albertan48> Donald Trump has clearly given up hope - Palmer Report  https://t.co/v2SvrnfK5q
1339958266831327232 2020-12-18 23:38:40 +0800 <albertan48> TRUMP  @ScottMStedman The Trump decision to not accept the testing kits from the World Health Organization in early February after 60 countries had done so will prove to be a deadly mistake on an order of magnitude that we probably can’t even imagine.
1339957372295368704 2020-12-18 23:35:07 +0800 <albertan48> Trump knew coronavirus was 'deadly', downplayed it: Woodward book  https://t.co/RX0PPwcslU via @YouTube
1339955386913210370 2020-12-18 23:27:14 +0800 <albertan48> Why not let everybody get infected to create herd immunity?  https://t.co/0NrfA8QySS via @GalvNews
1339955031836004352 2020-12-18 23:25:49 +0800 <albertan48> Trump Official Reportedly Pushed for COVID-19 "Herd Immunity" by Letting Young People Get Infected | Teen Vogue  https://t.co/bt1jTFpbBR
1339945140928958464 2020-12-18 22:46:31 +0800 <albertan48> ‘We want them infected’: Trump appointee demanded ‘herd immunity’ strategy, emails reveal  https://t.co/ved316ERug via @politico
1339856353041387520 2020-12-18 16:53:42 +0800 <albertan48> Canada, the U.S. and Mexico walk into a bar - jjjk.marketing@gmail.com - Gmail  https://t.co/H1s9il4GK0
1339855560024322050 2020-12-18 16:50:33 +0800 <albertan48> Google Earth Tours of Glacier Change | NOAA  https://t.co/JybPtamOcc  https://t.co/HxMOecKR1n
1339853584729399297 2020-12-18 16:42:42 +0800 <albertan48> Did Trump Deliberately Pursue Genocide via His "Herd Immunity" Strategy?  https://t.co/VeBalHJgbX
1339850467564609538 2020-12-18 16:30:19 +0800 <albertan48> There is no President of the United States - Palmer Report  https://t.co/CEUiqe4aPo
1339709891204632576 2020-12-18 07:11:43 +0800 <albertan48> Trump stole money from US cyber-security to build his wall: Ex-FBI deputy – Raw Story  https://t.co/vdJn4B5jkt
1339706248166400000 2020-12-18 06:57:14 +0800 <albertan48> The end of Vladimir Putin - Palmer Report  https://t.co/VYp9QtlSRQ
1339617275716849669 2020-12-18 01:03:42 +0800 <albertan48> Putin Envy - Palmer Report  https://t.co/k9NElH3CZT
1339615335217958912 2020-12-18 00:55:59 +0800 <albertan48> Ron DeSantis caught faking Florida’s coronavirus daily death toll to try to help Trump win the election  https://t.co/uFtXI2xU1U via @PalmerReport
1339432483020914692 2020-12-17 12:49:24 +0800 <albertan48> Something doesn’t add up with Republican Senator Ron Johnson  https://t.co/OY7Dh5fMOG via @PalmerReport
1339432360371052544 2020-12-17 12:48:54 +0800 <albertan48> Ron Johnson's Latest Mission for Trump and Putin - Shepherd Express  https://t.co/FH7ugDHR1O
1339427733672140800 2020-12-17 12:30:31 +0800 <albertan48> Don McGahn to face House subpoena, again - CNNPolitics  https://t.co/KnybYPrbjC
1339355413100183553 2020-12-17 07:43:09 +0800 <albertan48> Shell companies hide Trump campaign’s financial dealings as super PAC coordination rules kick in • OpenSecrets  https://t.co/K8wnPIPUUx
1339353052680048640 2020-12-17 07:33:46 +0800 <albertan48> Trump donor raking in millions in COVID-19 bucks after two-year legal battle against the VA: report | Raw Story  https://t.co/hxEpgMhC5S
1339317517215416321 2020-12-17 05:12:34 +0800 <albertan48> TRUMP -Scott Stedman @ScottMStedman The Trump decision to not accept the testing kits from the World Health Organization in early February after 60 countries had done so will prove to be a deadly mistake on an order of magnitude that we probably can’t even imagine.
1339289414015406085 2020-12-17 03:20:53 +0800 <albertan48> The end of a petty dictator - Palmer Report  https://t.co/B2Bn733W7v
1339288714195869697 2020-12-17 03:18:06 +0800 <albertan48> Video of Donald Trump ‘playing the accordion’ has netizens in splits | Trending News,The Indian Express  https://t.co/jl1CO07xhX
1339287344000614400 2020-12-17 03:12:40 +0800 <albertan48> Great news in the Georgia runoffs - Palmer Report  https://t.co/YeM0byxMXV
1339282907077042182 2020-12-17 02:55:02 +0800 <albertan48> Trump knew coronavirus was 'deadly', downplayed it: Woodward book  https://t.co/RX0PPwcslU via @YouTube
1339282440305590272 2020-12-17 02:53:11 +0800 <albertan48> Pocket - Report: U.S. Intelligence Officials Warned About Coronavirus In Wuhan In Late November  https://t.co/PVZyD6IzSr
1339278184550821888 2020-12-17 02:36:16 +0800 <albertan48> Biden's challenge: Creating a COVID-19-free White House  https://t.co/87c276epbh
1339277877649448960 2020-12-17 02:35:03 +0800 <albertan48> US vaccinations ramp up as 2nd COVID-19 shot nears  https://t.co/KlHMHqEDdv
1339245663024922625 2020-12-17 00:27:02 +0800 <albertan48> Take Action for Innovation – 5G Technology in Canada | TELUS  https://t.co/cydhcmnOwZ
1339059577405370371 2020-12-16 12:07:36 +0800 <albertan48> The Trumptanic sinks - Palmer Report  https://t.co/AuhXb6vFSF
1339055705672708097 2020-12-16 11:52:13 +0800 <albertan48> PolitiFact | The race to create a coronavirus vaccine: A primer  https://t.co/FJM1UiTKZD
1339028888899395584 2020-12-16 10:05:39 +0800 <albertan48> (6) The Full Story of Trump and COVID-19 | NowThis - YouTube  https://t.co/jJpQYCDrpD
1339028007818645504 2020-12-16 10:02:09 +0800 <albertan48> Pocket - Report: U.S. Intelligence Officials Warned About Coronavirus In Wuhan In Late November  https://t.co/PVZyD6IzSr
1339026240494190592 2020-12-16 09:55:08 +0800 <albertan48> ‘We’re Just Kind of Sitting Ducks’: Cases Surge Near Fort St. James | The Tyee  https://t.co/OSUTUJm7Dp
1339025790487281664 2020-12-16 09:53:21 +0800 <albertan48> Northern First Nations Look for Answers as Work Camps Bring the Virus | The Tyee  https://t.co/55CYyOq0tf
1339024206604849152 2020-12-16 09:47:03 +0800 <albertan48> House Democrats release Cohen testimony on his claim Trump lawyer knew he lied to Congress - ABC News  https://t.co/7K9oZfgpcc
1339023859006144514 2020-12-16 09:45:40 +0800 <albertan48> PressProgress  https://t.co/pjWuKadt8S
1339022763428728832 2020-12-16 09:41:19 +0800 <albertan48> New York State wins major legal ruling in its investigation into Donald Trump - Palmer Report  https://t.co/0X4L8gbf7W
1339022557345771522 2020-12-16 09:40:30 +0800 <albertan48> Judge rejects Trump Organization's claim of privilege to shield documents from New York attorney general - ABC News  https://t.co/qlMIKudqWf
1339013294468710400 2020-12-16 09:03:41 +0800 <albertan48> Mayor Pete Buttigieg for the win - Palmer Report  https://t.co/5cT8Kq5IIe
1339011085416861702 2020-12-16 08:54:55 +0800 <albertan48> #KellyCantLead: Republican attacks on ‘looting Kelly Loeffler’ come back to haunt the Georgia GOP – Raw Story  https://t.co/2JnN6CThfv
1338925561448579072 2020-12-16 03:15:04 +0800 <albertan48> MacKenzie Scott Net Worth: Bezos Ex-Wife Gives Away $4.2 Billion Within 4 Months - Bloomberg  https://t.co/mmIGfenqZu
1338923710254739456 2020-12-16 03:07:43 +0800 <albertan48> (6) 'Covid, covid covid' - Trump says opponents are using the pandemic to make him look bad | Campaign 2 - YouTube  https://t.co/7SUi0rPEry
1338922925924106241 2020-12-16 03:04:36 +0800 <albertan48> United States Coronavirus: 16,998,715 Cases and 309,101 Deaths - Worldometer  https://t.co/8HdIx08WiX
1338897369455161345 2020-12-16 01:23:03 +0800 <albertan48> Here's the thing about these Russian hacks of U.S. government agencies - Palmer Report  https://t.co/ZPAoDjBmgZ
1338861452455628802 2020-12-15 23:00:19 +0800 <albertan48> Link:   https://t.co/RV6X9YTuPF
1338861222632964102 2020-12-15 22:59:24 +0800 <albertan48> U.S. Treasury, Commerce Depts. Hacked Through SolarWinds Compromise — Krebs on Security  https://t.co/zCGZK7Z4eP
1338860865127206915 2020-12-15 22:57:59 +0800 <albertan48> The Big Five: Largest Acquisitions by Tech Company  https://t.co/Ik8JnnX5Ef
1338860328394768385 2020-12-15 22:55:51 +0800 <albertan48> Chart: Debt-to-GDP Continues to Rise Around the World  https://t.co/4fEboWRuIl
1338859675370995715 2020-12-15 22:53:16 +0800 <albertan48> Visualizing the Most Populous Countries in the World  https://t.co/3QWLWzUMDs
1338858288654401536 2020-12-15 22:47:45 +0800 <albertan48> 30 startling stats on online holiday shopping in 2020 - BarnRaisers, LLC  https://t.co/dqdlbXIqJy
1338840805377622016 2020-12-15 21:38:17 +0800 <albertan48> Walmart looks to India and Mexico to boost international sales — Quartz  https://t.co/FKzzyT1vNC
1338838156204888067 2020-12-15 21:27:45 +0800 <albertan48> Opinion | The Proud Boys really thought they could terrorize our city. As if. - The Washington Post  https://t.co/kn3aeOHHcU
1338836058885083136 2020-12-15 21:19:25 +0800 <albertan48> E. Jean Carroll, ELLE columnist who says Donald Trump raped her, fired  https://t.co/6Bmg11mkyb
1338834799662833665 2020-12-15 21:14:25 +0800 <albertan48> Fact check: COVID-19 is not a hoax to eliminate Trump | Reuters  https://t.co/d96jG8vG8t
1338833218938662913 2020-12-15 21:08:08 +0800 <albertan48> Opinion | As Americans die by the thousands, Trump cronies cut in line for coronavirus treatments and vaccines - The Washington Post  https://t.co/kn3aeOHHcU
1338832358170976256 2020-12-15 21:04:43 +0800 <albertan48> DHS, State and NIH join list of federal agencies — now five — hacked in major Russian cyberespionage campaign - The Washington Post  https://t.co/SlIUhi7VAi
1338832187974508546 2020-12-15 21:04:02 +0800 <albertan48> Russian hacker group 'Cozy Bear' behind Treasury and Commerce breaches - The Washington Post  https://t.co/gcroAMvst8
1338832001965551616 2020-12-15 21:03:18 +0800 <albertan48> The Cybersecurity 202: A Russian mega-hack is further damaging Trump’s cybersecurity legacy - The Washington Post  https://t.co/kn3aeOHHcU
1338831770465124353 2020-12-15 21:02:23 +0800 <albertan48> Spies with Russia’s foreign intelligence service believed to have hacked a top American cybersecurity firm and stolen its sensitive tools - The Washington Post  https://t.co/kn3aeOHHcU
1338831550633263105 2020-12-15 21:01:30 +0800 <albertan48> Highly Evasive Attacker Leverages SolarWinds Supply Chain to Compromise Multiple Global Victims With SUNBURST Backdoor | FireEye Inc  https://t.co/9u7ML95vxf
1338831334504951810 2020-12-15 21:00:39 +0800 <albertan48> Coronavirus - The Washington Post  https://t.co/BmC2c0dajh
1338831131785846784 2020-12-15 20:59:50 +0800 <albertan48> First U.S. coronavirus vaccine administered as U.S. surpasses 300,000 deaths - The Washington Post  https://t.co/1tMnhw5ZGB
1338830991595474944 2020-12-15 20:59:17 +0800 <albertan48> Biden secures his win over Trump as electoral votes put president-elect over the top - The Washington Post  https://t.co/kn3aeOHHcU
1338830855213436933 2020-12-15 20:58:44 +0800 <albertan48> How Russia’s military intelligence agency became the covert muscle in Putin’s duels with the West - The Washington Post  https://t.co/kn3aeOHHcU
1338829728099127297 2020-12-15 20:54:16 +0800 <albertan48> Israeli tourists in Dubai: UAE peace deal lifts "Iron Curtain" - The Washington Post  https://t.co/v7buzHPI9k
1338737712556175363 2020-12-15 14:48:37 +0800 <albertan48> Pocket - Report: U.S. Intelligence Officials Warned About Coronavirus In Wuhan In Late November  https://t.co/PVZyD6IzSr
1338705904686882816 2020-12-15 12:42:14 +0800 <albertan48> What You Need To Know About Today’s Electoral College Vote – Political⚡Charge  https://t.co/8mnPTKKgGq
1338693679855194114 2020-12-15 11:53:39 +0800 <albertan48> Trump knew coronavirus was 'deadly', downplayed it: Woodward book  https://t.co/RX0PPwcslU via @YouTube
1338654795423383553 2020-12-15 09:19:08 +0800 <albertan48> Kelly Loeffler asked Donald Trump’s supporters for money on Parler — and it massively backfired -  https://t.co/aYuARVqzMC  https://t.co/Gnm4l8uLWT
1338653312585924609 2020-12-15 09:13:15 +0800 <albertan48> The Best Smart Home Gadgets You Want but Don’t Need – Review Geek  https://t.co/WwNJdwli38
1338652554566148097 2020-12-15 09:10:14 +0800 <albertan48> heyman-mandate.pdf  https://t.co/nkwHEHlS48
1338652304782704640 2020-12-15 09:09:15 +0800 <albertan48> B.C. stalls on promise to enact endangered species law - The Narwhal  https://t.co/KShMGk7NTy
1338650297913077762 2020-12-15 09:01:16 +0800 <albertan48> This scathing Georgia ad nails GOP Sen. Perdue for fighting stimulus checks -  https://t.co/aYuARVqzMC  https://t.co/bq4V4c0x6G
1338649738552348672 2020-12-15 08:59:03 +0800 <albertan48> 'Without decency and without dignity': German newsweekly Der Spiegel names Trump 'Loser of the Year' -  https://t.co/aYuARVqzMC  https://t.co/GbdFwT6q4C
1338642351414071297 2020-12-15 08:29:42 +0800 <albertan48> Nanobots Will Be Flowing Through Your Body by 2030  https://t.co/NQHUhpsdW2
