1344063760252678152 2020-12-30 07:32:26 +0800 <rdp24k> After 12-Year Run, Obama Falls to Donald Trump as Most Admired Man  https://t.co/ihieYwhaNe via @BreitbartNews
1343243863184584706 2020-12-28 01:14:27 +0800 <rdp24k>  https://t.co/ZcjVln9yho
1343243614693052419 2020-12-28 01:13:28 +0800 <rdp24k>  https://t.co/YhCdzUHOJE
1343240082787094531 2020-12-28 00:59:26 +0800 <rdp24k>  https://t.co/e5Mzdsj0X7
1343238975931166728 2020-12-28 00:55:02 +0800 <rdp24k>  https://t.co/uhYbSX4pPC
1343233027984527360 2020-12-28 00:31:24 +0800 <rdp24k> McCarthy fumes after Pelosi names Maxine Waters, 6 other Dems to oversee coronavirus funds  https://t.co/0EfOAQODM0
1343230471627567105 2020-12-28 00:21:15 +0800 <rdp24k>  https://t.co/Cm4tviXgRe
1343228198583230464 2020-12-28 00:12:13 +0800 <rdp24k>  https://t.co/ANEpmg979u
1343227362465472512 2020-12-28 00:08:53 +0800 <rdp24k>  https://t.co/LTm3i0hKVX
1343223015857926146 2020-12-27 23:51:37 +0800 <rdp24k> Why these Fox News loyalists have changed the channel to Newsmax  https://t.co/z2lGwdPX59
1343219467136983040 2020-12-27 23:37:31 +0800 <rdp24k> Donald Trump Berates Congress ‘Pork‘ Coronavirus Relief Bill as Unemployment Benefits Expire  https://t.co/H4469uafip via @BreitbartNews
1343218729023320064 2020-12-27 23:34:35 +0800 <rdp24k> On the pandemic’s hidden frontline, children and teens struggle with the mental stress  https://t.co/ZASm00xwwP
1343218470071185411 2020-12-27 23:33:33 +0800 <rdp24k> Nolte: In ‘1984,‘ Wonder Woman Has Sex With a Man‘s Body Without His Consent  https://t.co/ktNrDwkmOH via @BreitbartNews
1343215322329964544 2020-12-27 23:21:03 +0800 <rdp24k> It's for Mike Pence to Judge whether a Presidential Election Was Held at All  https://t.co/yotc82sIoM
1343208954743160832 2020-12-27 22:55:45 +0800 <rdp24k> Kamala Harris Releases Bizarre Video Claiming Her Family Has Celebrated Kwanzaa Since Her Childhood  https://t.co/dnYiy4iujS via @gatewaypundit
1343059400265764866 2020-12-27 13:01:28 +0800 <rdp24k>  https://t.co/TugiJsalyU
1343047358049902592 2020-12-27 12:13:37 +0800 <rdp24k> Pieces of RV in Nashville bombing found 4 blocks away, gunshots part of recording  https://t.co/2hZuJV1DKJ
1343042259999203332 2020-12-27 11:53:21 +0800 <rdp24k> Biden Blasts Trump For Not Signing Bill With Billions Destined To Foreign Countries  https://t.co/bmVjOMfJu9 via @Buck Sexton Show
1343000350081617922 2020-12-27 09:06:49 +0800 <rdp24k>  https://t.co/YCbqNKTsrY
1342968679135391755 2020-12-27 07:00:58 +0800 <rdp24k>  https://t.co/7EbNKBohym
1342957233806708739 2020-12-27 06:15:30 +0800 <rdp24k>  https://t.co/qc7PERtWwS
1342952750464839680 2020-12-27 05:57:41 +0800 <rdp24k> Kevin McCarthy slams Pelosi, calls for House GOP to reject foreign aid in coronavirus bill  https://t.co/r6CCgK3LIQ #FoxNews
1342942544393605122 2020-12-27 05:17:07 +0800 <rdp24k> AMBER ALERT: Missing 3-year-old may have been abducted, officials say  https://t.co/7kGlhyNPRt
1342879135841050624 2020-12-27 01:05:10 +0800 <rdp24k> Unexplained explosion and fire destroy world's second largest pharmaceutical factory producing precursors for hydroxychloroquine  https://t.co/pTV2SCBJAi
1342863342180950017 2020-12-27 00:02:24 +0800 <rdp24k> New Republican Congresswoman Will Object To Electoral College Vote Certification For Biden  https://t.co/3oJ86WzPqX via @amlookout
1342851958265303040 2020-12-26 23:17:10 +0800 <rdp24k>  https://t.co/H6kWQZa2sf
1342660917117530113 2020-12-26 10:38:02 +0800 <rdp24k> Boston doctor has severe allergic reaction to Moderna COVID vaccine -NYT  https://t.co/eDGbi1yyG0
1342658418088280064 2020-12-26 10:28:06 +0800 <rdp24k> Steve Jobs' widow — worth $27.5 billion — says it's wrong for individuals to accumulate massive amounts of wealth  https://t.co/rEfK9PraK8
1342655646546743297 2020-12-26 10:17:06 +0800 <rdp24k> 'Evacuate now. There is a bomb': Human remains reportedly found near explosion in Nashville that damaged 41 buildings, injured 3  https://t.co/XbKmzNVyAr via @usatoday
1342593362566799364 2020-12-26 06:09:36 +0800 <rdp24k> Did Grinch cause downtown Christmas tree fire? Fire department investigates  https://t.co/CtOosRHHJy via @jaxdotcom
1342539842085920769 2020-12-26 02:36:56 +0800 <rdp24k>  https://t.co/qVvpWbs6FB
1342532616285802498 2020-12-26 02:08:13 +0800 <rdp24k> Vehicle-Linked Explosion Rocks Downtown Nashville  https://t.co/UMOGsxYrXV via @BreitbartNews
1342531134022950915 2020-12-26 02:02:20 +0800 <rdp24k> 2 Wisconsin GOP lawmakers join lawsuit to overturn election results in Wisconsin, 4 other swing states  https://t.co/C0zc7snq4N via @journalsentinel
1342529473577705473 2020-12-26 01:55:44 +0800 <rdp24k> Massive explosion that rocked Nashville was 'intentional act': cops  https://t.co/ZinKNPVXRk via @nypost
1342525389923610633 2020-12-26 01:39:30 +0800 <rdp24k> 8,000 Ballots Requested In GA Senate Race Believed To Be From Non-Residents, Secretary of State Investigating  https://t.co/yHoFBNRF6X via @RaheemKassam
1342519060689465345 2020-12-26 01:14:21 +0800 <rdp24k> Nashville Explosion Appears Intentional, Authorities Say  https://t.co/f3wLLaFR2t
1342514551053541376 2020-12-26 00:56:26 +0800 <rdp24k> Explosion in Nashville that damaged dozens of buildings is believed to be an intentional act  https://t.co/WpYt09KJcf
1342346560085090304 2020-12-25 13:48:54 +0800 <rdp24k> Fox News’ Media Suicide  https://t.co/ivEKJWiMbh
1342320755044966400 2020-12-25 12:06:21 +0800 <rdp24k> Report: Facebook Offered to Help Launch Rival Social Network to Prevent Antitrust Lawsuits  https://t.co/YFXcaZ3B0l via @BreitbartNews
1342259263696232449 2020-12-25 08:02:01 +0800 <rdp24k> Fox Ratings Plunge by 30% |  https://t.co/dHcc2lLYnH  https://t.co/PWyK8frUpO via @Newsmax
1342247588163149824 2020-12-25 07:15:37 +0800 <rdp24k> Um, ...you might wanna read  this article before you roll up your sleeves for the COVID jab!  https://t.co/36ZNGEj1fx
1342228630794084352 2020-12-25 06:00:17 +0800 <rdp24k>  https://t.co/N0GJ4m91VE
1342224419272454148 2020-12-25 05:43:33 +0800 <rdp24k>  https://t.co/FllpxDgQv6
1342215032315273218 2020-12-25 05:06:15 +0800 <rdp24k> THE KING JAMES AUDIO BIBLE: The Christmas Story - read by Christopher Glyn  https://t.co/0jrViv2oJB
1342213098149720065 2020-12-25 04:58:34 +0800 <rdp24k> Nat King Cole - God Rest Ye Merry, Gentlemen (Capitol Records 1960)  https://t.co/AN16ZcCq2x
1342212460414173185 2020-12-25 04:56:02 +0800 <rdp24k> Bing Crosby - Hark The Herald Angels Sing  https://t.co/r73CJXp7q0
1342211639798603779 2020-12-25 04:52:46 +0800 <rdp24k> Frank Sinatra - It Came Upon The Midnight Clear  https://t.co/JXHx1QJzzP
1342204432533094406 2020-12-25 04:24:08 +0800 <rdp24k>  https://t.co/JOgARQBTou
1342203962729103371 2020-12-25 04:22:16 +0800 <rdp24k>  https://t.co/Ri5y5EeECQ
1342180197160906755 2020-12-25 02:47:50 +0800 <rdp24k>  https://t.co/yxvtr9o0Fy
1342176384932831233 2020-12-25 02:32:41 +0800 <rdp24k>  https://t.co/blqzHWhREZ
1342175390895370240 2020-12-25 02:28:44 +0800 <rdp24k>  https://t.co/RlvewbsXva
1342175323870425089 2020-12-25 02:28:28 +0800 <rdp24k>  https://t.co/vUaj49DyLz
1342175128885604354 2020-12-25 02:27:41 +0800 <rdp24k>  https://t.co/YTOlORAm9m
1342174616689774592 2020-12-25 02:25:39 +0800 <rdp24k>  https://t.co/lpnI9TJJDH
1342174558510604288 2020-12-25 02:25:25 +0800 <rdp24k>  https://t.co/9QkvTsTpr7
1342174159540023296 2020-12-25 02:23:50 +0800 <rdp24k>  https://t.co/RU6vc6JA1I
1342159416511098884 2020-12-25 01:25:15 +0800 <rdp24k>  https://t.co/Os6aGCT4bV
1342154435838038016 2020-12-25 01:05:28 +0800 <rdp24k> With all the money and homes bestowed upon them from the American tax payers,  life doesn't look like it has been good for them????
1342152910399041537 2020-12-25 00:59:24 +0800 <rdp24k>  https://t.co/lRpFREMnMK
1342150635001704450 2020-12-25 00:50:21 +0800 <rdp24k>  https://t.co/FHicLvjD0j
1342150127922933763 2020-12-25 00:48:21 +0800 <rdp24k> Trump Campaign Drops New Ad About Alleged Voter Fraud in Swing States  https://t.co/1hV7fmeSEq
1341891727544750083 2020-12-24 07:41:33 +0800 <rdp24k> Trump Sets Internet ON FIRE With His Response to COVID-19 Relief Bill  https://t.co/UZB3GtLxcd
1341879789184016385 2020-12-24 06:54:07 +0800 <rdp24k> Ellen Degeneres is 'past' COVID-19 and went shopping in Montecito to prove it  https://t.co/5JBqEA1MTB
1341877030040776723 2020-12-24 06:43:09 +0800 <rdp24k> Political Cartoons - 2020  https://t.co/7ywpkPPcAr
1341873165522354178 2020-12-24 06:27:48 +0800 <rdp24k> COVID Christmas Parody ('It's Beginning To Look A Lot Like Christmas' - ...  https://t.co/4uANuNJ5jb via @YouTube
1341872497420103680 2020-12-24 06:25:08 +0800 <rdp24k> Elvis Presley - If Every day Could Be Like Christmas  https://t.co/gKESxMfJGQ via @YouTube
1341870454898880512 2020-12-24 06:17:01 +0800 <rdp24k> Dean Martin - It's Beginning To Look A Lot Like Christmas  https://t.co/o8v9SUzzGR via @YouTube
1341855892287987720 2020-12-24 05:19:09 +0800 <rdp24k> Trump vetoes defense bill, and Congress is set to override him for first time  https://t.co/uedf9AEM55
1341847859084275716 2020-12-24 04:47:14 +0800 <rdp24k> Arizona Republican Party joins in on Donald Trump's practice of mocking John McCain  https://t.co/MkeV98RsQ3 via @azcentral
1341844833024036866 2020-12-24 04:35:13 +0800 <rdp24k> ICYMI: President Trump Recently Greenlit Durham's Use of Classified Information   https://t.co/lELnsvVUxs
1341844178427383811 2020-12-24 04:32:37 +0800 <rdp24k> GOP Rep Matt Gaetz Makes Stunning Election Move For January 6th, Announces He’ll Formally Challenge Election Results  https://t.co/DHD5gb4Mui
1341843657360613377 2020-12-24 04:30:32 +0800 <rdp24k> Trump vetoes defense bill  https://t.co/5RM4KwyteK
1341839203114639360 2020-12-24 04:12:50 +0800 <rdp24k> Trump Makes Huge Move, Gives New Powers To Special Counsel In Criminal Investigation Of Russia Probe Origins  https://t.co/PSckp8CSHZ
1341837670859874304 2020-12-24 04:06:45 +0800 <rdp24k> L.A County Sheriff’s Deputy Recorded Having Sex While On Duty (Audio)  https://t.co/IDlmtxklhE via @Thestreetjournal
1341836059290812416 2020-12-24 04:00:21 +0800 <rdp24k> Here Are Just Some of the Many Outrageous Items in Congress’s New Spending Bill  https://t.co/SldyPVU7dZ
1341829903520571394 2020-12-24 03:35:53 +0800 <rdp24k> Rep. Ilhan Omar Backs Trump’s Call for ‘Clean Bill’ with Nothing But ‘$2,000 Survival Checks’  https://t.co/jS0eaLXE7o
1341823534788653061 2020-12-24 03:10:35 +0800 <rdp24k> $2.3T Bill: $35,000,000 Shall be for…Education in…Voluntarily Refraining from Non-Marital Sexual Activity’  https://t.co/ys0xjKNTm4
1341823111726043138 2020-12-24 03:08:54 +0800 <rdp24k> Tucker Carlson Sinks Georgia Dem With Police Footage Of Domestic Dispute With Wife: "He’s a great actor"  https://t.co/kTbbAdQzU7
1341822770439700481 2020-12-24 03:07:32 +0800 <rdp24k> Rand Paul's ‘Festivus Report’ Details the Insane Ways Government Wasted $54 Billion in 2020  https://t.co/nKE1BDp8gZ
1341822327735128067 2020-12-24 03:05:47 +0800 <rdp24k> Feinstein Canceled: San Francisco to Rename Elementary School  https://t.co/qIvgVJS0Ds
1341820485571637248 2020-12-24 02:58:28 +0800 <rdp24k>  https://t.co/eRh9HyOSiP
1341812813661167626 2020-12-24 02:27:59 +0800 <rdp24k> Congresswoman-Elect: ‘Sending Our Hard Earned Money to Foreign Countries Is the Biggest F You to the American People’  https://t.co/YxRBhlC9OK
1341811738090598400 2020-12-24 02:23:42 +0800 <rdp24k> New York Times Bungles Attempted Hit Piece on The Star News Network and The Georgia Star News  https://t.co/zfr85xrHgy
1341777010943807489 2020-12-24 00:05:43 +0800 <rdp24k>  https://t.co/tO1RYu70cK
1341775783061274625 2020-12-24 00:00:50 +0800 <rdp24k> McCrory: Cooper’s drive-thru liquor order a slippery slope  https://t.co/KvpC1SXVt3
1341772826857140224 2020-12-23 23:49:05 +0800 <rdp24k> GA Senate Report Devastates Left, Says Nov. 3 Election Results &amp;#8216;Cannot Be Trusted&amp;#8217; via @WestJournalism  https://t.co/ZEfVjvICCO
1341764524383195138 2020-12-23 23:16:06 +0800 <rdp24k> Yesterday When I Was Young...Glen Campbell  https://t.co/TF44PkPoDy via @YouTube
1341761856260759557 2020-12-23 23:05:29 +0800 <rdp24k> Tucker Carlson releases police footage of Warnock’s dispute with his crying ex-wife  https://t.co/WaVL5mtast
1341754941896060928 2020-12-23 22:38:01 +0800 <rdp24k> “It's very clear the media was not objective in following this race,” @adam_brandon says.  https://t.co/6lJrmLVLaf via @LRacheldG @DailySignal
1341753679242784775 2020-12-23 22:33:00 +0800 <rdp24k> &amp;#8216;Stimulus&amp;#8217; Bill Gives Americans $600, Puts Aside $700 Million for Sudan and It Gets Worse via @WestJournalism  https://t.co/JNFo4ye1Hh
1341592179219832836 2020-12-23 11:51:15 +0800 <rdp24k> Michigan Recount Confirms President Trump Won Race That Was Previously Declared For Biden In Antrim County  https://t.co/kgBUfemca5
1341591472903233536 2020-12-23 11:48:27 +0800 <rdp24k> Matt Gaetz Promises to ‘Object to Electors from States that Didn‘t Run Clean Elections‘ on January 6  https://t.co/2OtuAm38Gk via @BreitbartNews
1341591170259030018 2020-12-23 11:47:15 +0800 <rdp24k> Georgia teen catches break after being jailed for ditching  quarantine in Caymans  https://t.co/NXJH9wkW7G via @nypost
1341590380974919681 2020-12-23 11:44:07 +0800 <rdp24k> Sit this one out: Eric Swalwell polled his followers on treason and helloooo BACKFIRE!  https://t.co/mpddRRoZyt via @twitchyteam
1341588870857678854 2020-12-23 11:38:06 +0800 <rdp24k> San Francisco Mayor calls Newsom Pick to Replace Harris "a real blow to the African-American community"  https://t.co/vkk1kmi7VL
1341586265922297856 2020-12-23 11:27:45 +0800 <rdp24k> Madison Cawthorn warns he will fund primary opponents against Republicans who don’t contest election with him  https://t.co/9AvnYqrMCR
1341585370555830272 2020-12-23 11:24:12 +0800 <rdp24k> NY leads nation in population drop, could lose House seat  https://t.co/wGdlbNrZkb via @nypost
1341585226565357568 2020-12-23 11:23:38 +0800 <rdp24k> BREAKING: Trump Shreds Coronavirus Stimulus Bill, Demands Congress Give Significantly Larger Checks  https://t.co/PMNfIFdqqZ
1341584699517448192 2020-12-23 11:21:32 +0800 <rdp24k> Does Pelosi's Exchange with CNN Show That She Loves Inflicting Pain on the American People?  https://t.co/iyE4oT0QjJ
1341584447183982595 2020-12-23 11:20:32 +0800 <rdp24k> [VIDEO] Madison Hasn’t Even Been Sworn in Yet, But He’s Already Causing Joe Big Problems  https://t.co/iN8Yw55cvz via @WayneDupreeShow
1341577519020052481 2020-12-23 10:53:00 +0800 <rdp24k> For coronavirus relief, Trump demands Congress increase direct payments to Americans  https://t.co/CUHvwxryQ4 #FoxNews
1341572910973128707 2020-12-23 10:34:41 +0800 <rdp24k> @HumanEvents
1341557643110998016 2020-12-23 09:34:01 +0800 <rdp24k>  https://t.co/2W0gaqEK2s
1341551491425951744 2020-12-23 09:09:35 +0800 <rdp24k> Trump says he's sending massive COVID-19 relief bill back to Congress  https://t.co/ty4ANmBf23
1341548335472193536 2020-12-23 08:57:02 +0800 <rdp24k>  https://t.co/WvnK2LAuH1
1341543338084843521 2020-12-23 08:37:11 +0800 <rdp24k> Sen. Ted Cruz Is Right: Congress Labeled End-Of-Year Spending Bill "COVID Relief" to Cover the Pork  https://t.co/rQNUxPKQbL
1341541592818171905 2020-12-23 08:30:15 +0800 <rdp24k> Biden Flees Podium, Calls Reporter &amp;quot;One-Horse Pony&amp;quot; When Asked About Hunter  https://t.co/MhlawbCz8k
1341541419681460225 2020-12-23 08:29:33 +0800 <rdp24k> Squad Drama: Omar vs. AOC in Passive-Aggressive Feud Over Who’s a More Responsible Celeb  https://t.co/Qc6EUPkk2C
1341541212612902917 2020-12-23 08:28:44 +0800 <rdp24k> People are moving to North Carolina in droves during the COVID pandemic, survey finds  https://t.co/ia0a2QbPRb
1341539410073030659 2020-12-23 08:21:34 +0800 <rdp24k> Charlie Gasparino on All You Racists Boycotting the NFL  https://t.co/QM2MrO0NuF via @RealRLimbaugh
1341539303495753729 2020-12-23 08:21:09 +0800 <rdp24k> Hallelujah! A Second Voice Confirms There Is No News  https://t.co/WoomUv4xfZ via @RealRLimbaugh
1341539012612415490 2020-12-23 08:19:59 +0800 <rdp24k> How California Plans to Tax Citizens Who Leave  https://t.co/Dr4meuIlUC via @RealRLimbaugh
1341538819351465984 2020-12-23 08:19:13 +0800 <rdp24k> Only a Bunch of Collectivist Socialists Would Cheat to Undo These Accomplishments  https://t.co/aqBLjVf7SW via @RealRLimbaugh
1341538446729461760 2020-12-23 08:17:44 +0800 <rdp24k> So-Called COVID Relief Bill Marks End of the Trump Experiment  https://t.co/tXBZv2xDJY via @RealRLimbaugh
1341520568089231363 2020-12-23 07:06:42 +0800 <rdp24k>  https://t.co/zduEGaLLb7
1341518473705512965 2020-12-23 06:58:22 +0800 <rdp24k>  https://t.co/EKdPTzYA8B
1341517576338288643 2020-12-23 06:54:49 +0800 <rdp24k>  https://t.co/OiQrGAlh5n
1341493079103188998 2020-12-23 05:17:28 +0800 <rdp24k>  https://t.co/srx3235MiV
1341490994144026631 2020-12-23 05:09:11 +0800 <rdp24k> Frank Sinatra, Dean Martin, Elvis Presley, Nat King Cole, Bing Crosbey C...  https://t.co/rN8a3TPxnV via @YouTube
1341486942605758466 2020-12-23 04:53:05 +0800 <rdp24k>  https://t.co/idGrzZ78iu
1341484493140602880 2020-12-23 04:43:21 +0800 <rdp24k> UPDATE:  HUGE UPDATE Monday afternoon: a big smoking gun  https://t.co/b4nG35F0ek
1341484235643908097 2020-12-23 04:42:20 +0800 <rdp24k> Dr. Birx says she will retire after 'overwhelming' holiday travel scandal  https://t.co/an2XxTQKND via @nypost
1341464347420274694 2020-12-23 03:23:18 +0800 <rdp24k> Why these 6 GOP senators voted against coronavirus relief package  https://t.co/kQeWStexTV #FoxNews
1341462209222852612 2020-12-23 03:14:48 +0800 <rdp24k>  https://t.co/14KBTPUBrs
1341401769239326722 2020-12-22 23:14:38 +0800 <rdp24k>  https://t.co/J8JlQDSm48
1341400400365281284 2020-12-22 23:09:12 +0800 <rdp24k> Alan Dershowitz References Sarah Palin and Project Veritas While Asking Court Not to Dismiss Defamation Suit Against CNN  https://t.co/D9iYpLc30v via @lawcrimenews
1341392228757987331 2020-12-22 22:36:43 +0800 <rdp24k> EXCLUSIVE: FBI Director Christopher Wray Has Been Hiding His Connections to a Russian Energy Company Likely Connected to Uranium One  https://t.co/AY0r9k8kQ1 via @gatewaypundit
1341224348577873927 2020-12-22 11:29:38 +0800 <rdp24k>  https://t.co/Uy3Ra8AWyi
1341194638103818242 2020-12-22 09:31:34 +0800 <rdp24k> Vernon Jones says he’ll call for Biden’s "same day resignation’ if he’s sworn in as President  https://t.co/LpHFxEFDzV
1341193407985819655 2020-12-22 09:26:41 +0800 <rdp24k> MIKE LEE: Congress to vote on BEHEMOTH 5,600 page bill tonight that NONE of them will have a chance to read  https://t.co/8nTGbAeUG9
1341180389294039043 2020-12-22 08:34:57 +0800 <rdp24k> McConnell Agrees On COVID-19 Relief Then Drops BOMB On Democrats  https://t.co/NBNo0PCQVY
1341178271266983936 2020-12-22 08:26:32 +0800 <rdp24k>  https://t.co/h6VIsLtotE
1341167548352573448 2020-12-22 07:43:55 +0800 <rdp24k>  https://t.co/rc6BoMsJFP
